Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2004,01,001000,067,0005,222,20020, , ,36310      ,3,6,12,Abbeville,2,2,148000,0,0,0,0,0,0,0,0,0,2,2,148000,0,0,0,0,0,0,0,0,0
2004,01,002000,073,0010,142,13820, , ,35005      ,3,6,7,Adamsville,10,10,1401278,0,0,0,0,0,0,0,0,0,5,5,799393,0,0,0,0,0,0,0,0,0
2004,01,004000,065,0020,999,46220, , ,35441      ,3,6,0,Akron town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,01,005000,117,0025,142,13820, , ,35007      ,3,6,11,Alabaster,293,293,45572253,0,0,0,0,0,0,5,46,2799094,267,267,42294117,0,0,0,0,0,0,4,40,2349263
2004,01,006000,095,0030,999,99999, , ,35950      ,3,6,11,Albertville,100,100,14969977,1,2,90000,2,7,249062,0,0,0,90,90,13694000,1,2,90000,1,4,160000,0,0,0
2004,01,007000,123,0035,999,99999, , ,35010      ,3,6,12,Alexander City,36,36,4602985,0,0,0,0,0,0,0,0,0,36,36,4602985,0,0,0,0,0,0,0,0,0
2004,01,008000,107,0040,999,99999, , ,35442      ,3,6,0,Aliceville,5,5,321666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,01,012000,039,0055,999,99999, , ,36420      ,3,6,12,Andalusia,6,6,1078000,0,0,0,0,0,0,9,45,2882628,6,6,1078000,0,0,0,0,0,0,9,45,2882628
2004,01,014000,015,0060,999,11500, ,1,36202      ,3,6,11,Anniston,28,28,5152009,0,0,0,0,0,0,0,0,0,26,26,4880565,0,0,0,0,0,0,0,0,0
2004,01,016000,095,0065,999,99999, , ,35016      ,3,6,12,Arab,25,25,2698950,0,0,0,0,0,0,0,0,0,25,25,2698950,0,0,0,0,0,0,0,0,0
2004,01,017000,083,0070,290,26620, , ,38449      ,3,6,12,Ardmore town,1,1,70000,0,0,0,0,0,0,0,0,0,1,1,70000,0,0,0,0,0,0,0,0,0
2004,01,020000,045,0075,999,99999, , ,36311      ,3,6,0,Ariton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,01,022000,069,0080,222,20020, , ,36312      ,3,6,12,Ashford,11,11,1336400,0,0,0,0,0,0,0,0,0,11,11,1336400,0,0,0,0,0,0,0,0,0
2004,01,023000,027,0085,999,99999, , ,36251      ,3,6,12,Ashland,4,4,350000,0,0,0,0,0,0,0,0,0,4,4,350000,0,0,0,0,0,0,0,0,0
2004,01,024000,115,0090,142,13820, , ,35953      ,3,6,12,Ashville town,7,7,950419,0,0,0,0,0,0,0,0,0,7,7,950419,0,0,0,0,0,0,0,0,0
2004,01,025000,083,0095,290,26620, , ,35611      ,3,6,12,Athens,152,152,20733510,1,2,112210,0,0,0,0,0,0,152,152,20733510,1,2,112210,0,0,0,0,0,0
2004,01,026000,053,0100,999,99999, , ,36504      ,3,6,0,Atmore,10,10,972411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,01,027000,055,0105,999,23460, , ,35954      ,3,6,12,Attalla,14,14,1230190,0,0,0,0,0,0,0,0,0,14,14,1230190,0,0,0,0,0,0,0,0,0
2004,01,028000,081,0110,194,12220, ,1,36830      ,3,6,12,Auburn,665,665,94746772,33,66,4578023,1,4,427623,12,167,10688514,665,665,94746772,33,66,4578023,1,4,427623,12,167,10688514
