Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2004,17,001000,095,0005,999,99999, , ,61410      ,2,3,12,Abingdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,17,001900,099,    ,999,99999, , ,60531      ,2,3,0,Adams township,4,4,430000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,17,002800,043,0015,176,16980, , ,601012786  ,2,3,12,Addison village,32,32,9319410,0,0,0,0,0,0,2,20,1164220,32,32,9319410,0,0,0,0,0,0,2,20,1164220
2004,17,004900,195,0025,999,99999, , ,61230      ,2,3,12,Albany village,5,5,641000,0,0,0,0,0,0,0,0,0,5,5,641000,0,0,0,0,0,0,0,0,0
2004,17,005200,027,0030,476,41180, , ,62215      ,2,3,12,Albers village,15,15,2385000,0,0,0,0,0,0,0,0,0,15,15,2385000,0,0,0,0,0,0,0,0,0
2004,17,006100,131,0040,999,19340, , ,61231      ,2,3,0,Aledo,5,5,521000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,17,006400,003,    ,999,99999, , ,62969      ,2,3,12,Alexander County Unincorporated Area,4,4,312000,0,0,0,0,0,0,0,0,0,4,4,312000,0,0,0,0,0,0,0,0,0
2004,17,007000,187,0045,999,99999, , ,61412      ,2,3,12,Alexis village,1,1,120000,0,0,0,0,0,0,0,0,0,1,1,120000,0,0,0,0,0,0,0,0,0
2004,17,007900,111,0050,176,16980, , ,60102      ,2,3,12,Algonquin village,279,279,41788405,0,0,0,2,8,588858,0,0,0,279,279,41788405,0,0,0,2,8,588858,0,0,0
2004,17,008500,119,0055,476,41180, , ,62001      ,2,3,12,Alhambra village,1,1,265000,0,0,0,0,0,0,0,0,0,1,1,265000,0,0,0,0,0,0,0,0,0
2004,17,009400,185,0060,999,99999, , ,62410      ,2,3,12,Allendale village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,17,009700,139,0065,999,99999, , ,61951      ,2,3,0,Allenville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,17,010300,183,0070,999,19180, , ,61810      ,2,3,12,Allerton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,17,012100,073,0085,999,19340, , ,61413      ,2,3,12,Alpha village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,17,012700,031,0095,176,16980, , ,60658      ,2,3,11,Alsip village,18,18,2249077,0,0,0,0,0,0,0,0,0,17,17,2134000,0,0,0,0,0,0,0,0,0
2004,17,013000,049,0100,999,99999, , ,62411      ,2,3,12,Altamont,4,4,714209,0,0,0,0,0,0,0,0,0,4,4,714209,0,0,0,0,0,0,0,0,0
2004,17,013900,119,0115,476,41180,2, ,62002      ,2,3,12,Alton,23,23,2340740,0,0,0,0,0,0,2,16,640000,23,23,2340740,0,0,0,0,0,0,2,16,640000
2004,17,015100,103,0130,999,99999, , ,61310      ,2,3,0,Amboy,4,4,560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,17,016300,113,0133,999,14060, , ,61720      ,2,3,12,Anchor village,1,1,135000,0,0,0,0,0,0,0,0,0,1,1,135000,0,0,0,0,0,0,0,0,0
