Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9799,0040,9999,,Abilene  TX MSA ,215,215,25825,0,0,0,1,3,125,0,0,0,215,215,25825,0,0,0,1,3,125,0,0,0
9799,0120,9999,,Albany  GA MSA ,783,783,61329,7,14,836,2,8,521,5,101,4288,783,783,61329,7,14,836,2,8,521,5,101,4288
9799,0160,9999,,Albany-Schenectady-Troy  NY MSA ,1802,1802,215434,34,68,3184,4,16,615,30,425,17871,1651,1651,201858,33,66,3059,4,16,615,29,410,16933
9799,0200,9999,,Albuquerque  NM MSA ,4430,4430,408323,5,10,339,19,69,3771,51,1588,71413,3218,3218,309042,5,10,339,19,69,3771,36,1512,69112
9799,0220,9999,,Alexandria  LA MSA ,315,315,30829,0,0,0,4,16,913,0,0,0,309,309,30413,0,0,0,4,16,913,0,0,0
9799,0240,9999,,Allentown-Bethlehem-Easton  PA MSA ,2067,2067,231043,16,32,2041,7,28,1127,15,238,9028,2011,2011,225578,16,32,2041,7,28,1127,13,213,8047
9799,0280,9999,,Altoona  PA MSA ,179,179,17884,4,8,140,1,3,140,0,0,0,146,146,15555,4,8,140,1,3,140,0,0,0
9799,0320,9999,,Amarillo  TX MSA ,438,438,53669,0,0,0,0,0,0,27,416,12200,404,404,49899,0,0,0,0,0,0,27,416,12200
9799,0380,9999,,Anchorage  AK MSA ,1041,1041,177632,53,106,13006,25,92,10559,18,162,14467,1041,1041,177632,53,106,13006,25,92,10559,18,162,14467
9799,0450,9999,,Anniston  AL MSA ,155,155,13803,2,4,160,1,3,75,12,70,3213,59,59,4763,2,4,160,1,3,75,0,0,0
9799,0460,9999,,Appleton-Oshkosh-Neenah  WI MSA ,1478,1478,184782,115,230,15297,11,41,2412,84,1046,35004,1455,1455,181653,113,226,15003,11,41,2412,84,1046,35004
9799,0480,9999,,Asheville  NC MSA ,1102,1102,135433,42,84,4524,30,105,6465,14,191,10552,1074,1074,131214,40,80,4191,30,105,6465,13,180,9800
9799,0500,9999,,Athens  GA MSA ,765,765,85604,36,72,2873,0,0,0,24,205,7866,765,765,85604,36,72,2873,0,0,0,24,205,7866
9799,0520,9999,,Atlanta  GA MSA ,38482,38482,3862027,93,186,10193,38,139,7685,469,10967,539004,38167,38167,3845138,93,186,10193,36,133,7685,468,10962,538830
9799,0600,9999,,Augusta-Aiken  GA-SC MSA ,2001,2001,174851,2,4,104,19,75,2364,6,33,808,2001,2001,174851,2,4,104,19,75,2364,6,33,808
9799,0640,9999,,Austin-San Marcos  TX MSA ,8456,8456,883012,104,208,13525,59,233,12509,271,4720,191069,8378,8378,878696,104,208,13525,59,233,12509,271,4720,191069
9799,0680,9999,,Bakersfield  CA MSA ,2397,2397,244715,6,12,484,20,71,3463,29,179,7202,2387,2387,243523,6,12,484,20,71,3463,29,179,7202
9799,0730,9999,,Bangor  ME MSA ,136,136,13010,0,0,0,0,0,0,0,0,0,125,125,12208,0,0,0,0,0,0,0,0,0
9799,0740,9999,,Barnstable-Yarmouth  MA MSA ,1304,1304,181608,4,8,962,5,18,1412,2,31,2279,1297,1297,180733,4,8,962,5,18,1412,2,31,2279
9799,0760,9999,,Baton Rouge  LA MSA ,2757,2757,234724,15,30,1291,15,60,2519,14,163,8657,2628,2628,224624,15,30,1291,15,60,2519,7,97,5350
9799,0840,9999,,Beaumont-Port Arthur  TX MSA ,603,603,62239,2,4,129,0,0,0,1,8,240,603,603,62239,2,4,129,0,0,0,1,8,240
9799,0860,9999,,Bellingham  WA MSA ,907,907,115055,35,70,7463,23,85,5678,33,458,25040,668,668,88719,35,70,7463,22,82,5254,27,398,21583
9799,0870,9999,,Benton Harbor  MI MSA ,461,461,62639,3,6,476,0,0,0,7,80,4546,368,368,52748,3,6,476,0,0,0,7,80,4546
9799,0880,9999,,Billings  MT MSA ,352,352,39590,15,30,2273,3,10,717,5,95,6416,352,352,39590,15,30,2273,3,10,717,5,95,6416
9799,0920,9999,,Biloxi-Gulfport-Pascagoula  MS MSA ,1644,1644,117202,18,36,1425,21,71,1523,4,116,4520,1565,1565,110484,18,36,1425,21,71,1523,4,116,4520
9799,0960,9999,,Binghamton  NY MSA ,164,164,16001,2,4,280,0,0,0,2,30,1771,157,157,15364,2,4,280,0,0,0,2,30,1771
9799,1000,9999,,Birmingham  AL MSA ,4333,4333,528651,5,10,338,6,19,273,65,696,26968,3593,3593,457633,5,10,338,1,4,100,53,634,25564
9799,1010,9999,,Bismarck  ND MSA ,322,322,36750,7,14,1261,4,16,1035,16,429,19598,321,321,36650,7,14,1261,4,16,1035,16,429,19598
9799,1020,9999,,Bloomington  IN MSA ,449,449,53152,27,54,3294,3,11,618,0,0,0,449,449,53152,27,54,3294,3,11,618,0,0,0
