Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8699,0040,9999, ,ABILENE TX MSA. . . . . . . . . .,335,335,28675,1,2,124,3,12,599,1,10,700,283,283,26230,1,2,124,3,12,599,1,10,700
8699,0120,9999, ,ALBANY GA MSA . . . . . . . . . .,399,399,19847,52,104,3183,10,40,970,17,271,6053,399,399,19847,52,104,3183,10,40,970,17,271,6053
8699,0160,9999, ,ALBANY-SCHENECTADY-TROY NY MSA. .,4248,4248,296883,193,386,13185,41,150,3821,78,877,15893,3962,3962,282455,193,386,13185,26,101,2637,70,837,15179
8699,0200,9999, ,ALBUQUERQUE NM MSA. . . . . . . .,3229,3229,238463,5,10,302,19,76,2174,114,2548,48446,3229,3229,238463,5,10,302,19,76,2174,114,2548,48446
8699,0220,9999, ,ALEXANDRIA LA MSA . . . . . . . .,145,145,11322,3,6,409,2,8,140,15,178,4904,145,145,11322,3,6,409,2,8,140,15,178,4904
8699,0240,9999, ,ALLENTOWN-BETHLEHEM PA-NJ MSA . .,3762,3762,268506,55,110,2740,30,113,4007,71,891,25318,3608,3608,259445,55,110,2740,30,113,4007,71,891,25318
8699,0280,9999, ,ALTOONA PA MSA. . . . . . . . . .,269,269,13498,1,2,25,2,8,120,0,0,10,261,261,13244,1,2,25,0,0,0,0,0,10
8699,0320,9999, ,AMARILLO TX MSA . . . . . . . . .,508,508,39970,7,14,538,0,0,0,1,9,90,508,508,39970,7,14,538,0,0,0,1,9,90
8699,0380,9999, ,ANCHORAGE AK MSA. . . . . . . . .,571,571,62933,41,82,6128,27,103,6442,1,6,372,571,571,62933,41,82,6128,27,103,6442,1,6,372
8699,0400,9999, ,ANDERSON IN MSA . . . . . . . . .,139,139,9169,5,10,385,0,0,0,0,0,0,139,139,9169,5,10,385,0,0,0,0,0,0
8699,0405,9999, ,ANDERSON SC MSA . . . . . . . . .,602,602,33673,40,80,1755,20,65,1407,22,217,5167,601,601,33534,40,80,1755,20,65,1407,20,198,4720
8699,0450,9999, ,ANNISTON AL MSA . . . . . . . . .,207,207,11166,0,0,0,2,8,294,3,28,392,145,145,7477,0,0,0,2,8,294,3,28,392
8699,0460,9999, ,APPLETON-OSHKOSH-NEENAH WI MSA. .,1214,1214,85560,146,292,10176,21,78,2377,59,568,12983,1150,1150,82903,136,272,9770,14,55,1898,51,489,11584
8699,0480,9999, ,ASHEVILLE NC MSA. . . . . . . . .,1034,1034,57898,41,82,4133,37,145,4847,22,176,4662,1034,1034,57898,41,82,4133,37,145,4847,22,176,4662
8699,0500,9999, ,ATHENS GA MSA . . . . . . . . . .,756,756,47659,100,200,6012,23,80,2470,34,454,9661,727,727,46846,100,200,6012,23,80,2470,33,413,8778
8699,0520,9999, ,ATLANTA GA MSA. . . . . . . . . .,35095,35095,2245585,523,1046,31089,167,615,17243,1150,16801,493822,34896,34896,2235169,489,978,29822,165,609,17176,1147,16786,493611
8699,0560,9999, ,ATLANTIC CITY NJ MSA. . . . . . .,2542,2542,144549,387,774,44009,24,81,3154,120,1979,113358,2528,2528,143695,370,740,42685,24,81,3154,105,1101,39927
8699,0600,9999, ,AUGUSTA GA-SC MSA . . . . . . . .,3738,3738,210039,46,92,2820,30,119,3767,104,1183,30632,3728,3728,209469,46,92,2820,29,116,3703,103,1178,30528
8699,0640,9999, ,AUSTIN TX MSA . . . . . . . . . .,5016,5016,362613,122,244,10067,24,96,3552,218,5898,140058,4927,4927,357589,122,244,10067,24,96,3552,218,5898,140058
8699,0680,9999, ,BAKERSFIELD CA MSA. . . . . . . .,3304,3304,209276,98,196,6705,191,681,22462,94,920,28654,3184,3184,200877,91,182,6224,186,662,21804,91,899,28009
8699,0720,9999, ,BALTIMORE MD MSA. . . . . . . . .,15414,15414,962936,9,18,560,4,16,480,166,3958,130636,15414,15414,962936,9,18,560,4,16,480,166,3958,130636
8699,0730,9999, ,BANGOR ME MSA . . . . . . . . . .,246,246,14526,1,2,45,7,28,784,8,54,1652,240,240,14307,1,2,45,7,28,784,8,54,1652
8699,0760,9999, ,BATON ROUGE LA MSA. . . . . . . .,1277,1277,80477,8,16,472,12,48,1669,2,48,1417,1277,1277,80477,8,16,472,12,48,1669,2,48,1417
8699,0780,9999, ,BATTLE CREEK MI MSA . . . . . . .,108,108,6296,1,2,90,0,0,0,5,117,3280,101,101,6071,1,2,90,0,0,0,5,117,3280
8699,0840,9999, ,BEAUMONT-PORT ARTHUR TX MSA . . .,415,415,24583,0,0,0,0,0,0,0,0,0,415,415,24583,0,0,0,0,0,0,0,0,0
8699,0860,9999, ,BELLINGHAM WA MSA . . . . . . . .,360,360,20822,3,6,263,7,24,592,21,180,5276,260,260,15976,2,4,217,3,12,371,10,96,2771
