Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2017,01,001,3,6,Autauga County                ,188,188,51711467,0,0,0,0,0,0,0,0,0,188,188,51711467,0,0,0,0,0,0,0,0,0
2017,01,003,3,6,Baldwin County                ,2207,2207,449821615,46,92,4240286,32,98,4034508,3,20,2091690,2160,2160,443998177,46,92,4240286,32,98,4034508,3,20,2091690
2017,01,005,3,6,Barbour County                ,3,3,901000,0,0,0,0,0,0,0,0,0,3,3,901000,0,0,0,0,0,0,0,0,0
2017,01,007,3,6,Bibb County                   ,10,10,2551290,0,0,0,0,0,0,0,0,0,2,2,490000,0,0,0,0,0,0,0,0,0
2017,01,009,3,6,Blount County                 ,18,18,4265412,0,0,0,0,0,0,0,0,0,18,18,4265412,0,0,0,0,0,0,0,0,0
2017,01,011,3,6,Bullock County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,01,013,3,6,Butler County                 ,6,6,1416000,0,0,0,0,0,0,0,0,0,6,6,1416000,0,0,0,0,0,0,0,0,0
2017,01,015,3,6,Calhoun County                ,69,69,9942800,0,0,0,0,0,0,0,0,0,67,67,9749480,0,0,0,0,0,0,0,0,0
2017,01,017,3,6,Chambers County               ,3,3,637500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,01,019,3,6,Cherokee County               ,11,11,2538270,0,0,0,0,0,0,0,0,0,8,8,2238270,0,0,0,0,0,0,0,0,0
2017,01,021,3,6,Chilton County                ,45,45,5923500,0,0,0,0,0,0,0,0,0,45,45,5923500,0,0,0,0,0,0,0,0,0
2017,01,023,3,6,Choctaw County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,01,025,3,6,Clarke County                 ,7,7,861512,0,0,0,0,0,0,0,0,0,4,4,411512,0,0,0,0,0,0,0,0,0
2017,01,027,3,6,Clay County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,01,029,3,6,Cleburne County               ,1,1,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,01,031,3,6,Coffee County                 ,92,92,12472047,0,0,0,1,4,266200,1,5,314000,92,92,12472047,0,0,0,1,4,266200,1,5,314000
2017,01,033,3,6,Colbert County                ,150,150,18024056,0,0,0,0,0,0,0,0,0,2,2,166514,0,0,0,0,0,0,0,0,0
2017,01,035,3,6,Conecuh County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,01,039,3,6,Covington County              ,8,8,1596500,0,0,0,0,0,0,0,0,0,3,3,384000,0,0,0,0,0,0,0,0,0
2017,01,041,3,6,Crenshaw County               ,4,4,673500,0,0,0,0,0,0,0,0,0,4,4,673500,0,0,0,0,0,0,0,0,0
2017,01,043,3,6,Cullman County                ,119,119,16004358,1,2,120000,0,0,0,0,0,0,93,93,14586910,1,2,120000,0,0,0,0,0,0
2017,01,045,3,6,Dale County                   ,20,20,2398850,0,0,0,0,0,0,0,0,0,20,20,2398850,0,0,0,0,0,0,0,0,0
