Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2025,01,001,3,6,Autauga County                ,200,200,82131895,0,0,0,0,0,0,0,0,0,200,200,82131895,0,0,0,0,0,0,0,0,0
2025,01,003,3,6,Baldwin County                ,2517,2517,848168534,6,12,1754655,1,4,388350,13,132,19301135,2422,2422,829953600,6,12,1754655,1,4,388350,13,132,19301135
2025,01,005,3,6,Barbour County                ,14,14,4021800,0,0,0,0,0,0,0,0,0,14,14,4021800,0,0,0,0,0,0,0,0,0
2025,01,007,3,6,Bibb County                   ,5,5,1517215,0,0,0,0,0,0,0,0,0,5,5,1517215,0,0,0,0,0,0,0,0,0
2025,01,009,3,6,Blount County                 ,16,16,3347083,0,0,0,1,4,210000,0,0,0,16,16,3347083,0,0,0,1,4,210000,0,0,0
2025,01,011,3,6,Bullock County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,01,013,3,6,Butler County                 ,4,4,2587500,1,2,325000,0,0,0,0,0,0,3,3,2381500,1,2,325000,0,0,0,0,0,0
2025,01,015,3,6,Calhoun County                ,130,130,20414106,7,14,1885000,0,0,0,0,0,0,119,119,17207210,7,14,1885000,0,0,0,0,0,0
2025,01,017,3,6,Chambers County               ,44,44,7423849,0,0,0,0,0,0,2,56,13249827,44,44,7423849,0,0,0,0,0,0,2,56,13249827
2025,01,019,3,6,Cherokee County               ,21,21,4391100,0,0,0,0,0,0,0,0,0,14,14,2905000,0,0,0,0,0,0,0,0,0
2025,01,021,3,6,Chilton County                ,72,72,14902115,0,0,0,0,0,0,0,0,0,72,72,14902115,0,0,0,0,0,0,0,0,0
2025,01,023,3,6,Choctaw County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,01,025,3,6,Clarke County                 ,10,10,2166000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,01,027,3,6,Clay County                   ,8,8,1172864,0,0,0,0,0,0,0,0,0,2,2,270000,0,0,0,0,0,0,0,0,0
2025,01,029,3,6,Cleburne County               ,11,11,1965785,0,0,0,0,0,0,0,0,0,11,11,1965785,0,0,0,0,0,0,0,0,0
2025,01,031,3,6,Coffee County                 ,198,198,51407588,0,0,0,0,0,0,0,0,0,192,192,49165588,0,0,0,0,0,0,0,0,0
2025,01,033,3,6,Colbert County                ,84,84,12007132,0,0,0,0,0,0,0,0,0,59,59,8575482,0,0,0,0,0,0,0,0,0
2025,01,035,3,6,Conecuh County                ,1,1,149500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,01,039,3,6,Covington County              ,13,13,2468507,0,0,0,0,0,0,0,0,0,8,8,1620000,0,0,0,0,0,0,0,0,0
2025,01,041,3,6,Crenshaw County               ,4,4,645000,0,0,0,0,0,0,0,0,0,4,4,645000,0,0,0,0,0,0,0,0,0
2025,01,043,3,6,Cullman County                ,196,196,35776390,0,0,0,0,0,0,0,0,0,182,182,33500933,0,0,0,0,0,0,0,0,0
2025,01,045,3,6,Dale County                   ,29,29,3903767,0,0,0,0,0,0,0,0,0,26,26,3123590,0,0,0,0,0,0,0,0,0
