Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2012,01,001,3,6,Autauga County                ,129,129,33797066,0,0,0,0,0,0,23,256,18904318,129,129,33797066,0,0,0,0,0,0,23,256,18904318
2012,01,003,3,6,Baldwin County                ,1184,1184,200887320,0,0,0,0,0,0,0,0,0,1184,1184,200887320,0,0,0,0,0,0,0,0,0
2012,01,005,3,6,Barbour County                ,2,2,404500,0,0,0,0,0,0,0,0,0,2,2,404500,0,0,0,0,0,0,0,0,0
2012,01,007,3,6,Bibb County                   ,16,16,2691320,0,0,0,0,0,0,0,0,0,1,1,140000,0,0,0,0,0,0,0,0,0
2012,01,009,3,6,Blount County                 ,6,6,981778,0,0,0,0,0,0,0,0,0,6,6,981778,0,0,0,0,0,0,0,0,0
2012,01,011,3,6,Bullock County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,01,013,3,6,Butler County                 ,9,9,1314674,0,0,0,0,0,0,0,0,0,9,9,1314674,0,0,0,0,0,0,0,0,0
2012,01,015,3,6,Calhoun County                ,71,71,10374136,0,0,0,0,0,0,0,0,0,68,68,10171978,0,0,0,0,0,0,0,0,0
2012,01,017,3,6,Chambers County               ,9,9,1070000,0,0,0,0,0,0,0,0,0,7,7,645000,0,0,0,0,0,0,0,0,0
2012,01,019,3,6,Cherokee County               ,9,9,1690476,0,0,0,0,0,0,0,0,0,9,9,1690476,0,0,0,0,0,0,0,0,0
2012,01,021,3,6,Chilton County                ,17,17,2176605,0,0,0,0,0,0,0,0,0,14,14,1777650,0,0,0,0,0,0,0,0,0
2012,01,023,3,6,Choctaw County                ,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
2012,01,025,3,6,Clarke County                 ,8,8,1095000,0,0,0,0,0,0,0,0,0,8,8,1095000,0,0,0,0,0,0,0,0,0
2012,01,027,3,6,Clay County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,01,029,3,6,Cleburne County               ,1,1,170000,0,0,0,0,0,0,0,0,0,1,1,170000,0,0,0,0,0,0,0,0,0
2012,01,031,3,6,Coffee County                 ,91,91,13246914,0,0,0,0,0,0,0,0,0,91,91,13246914,0,0,0,0,0,0,0,0,0
2012,01,033,3,6,Colbert County                ,96,96,11512899,0,0,0,0,0,0,10,70,1968750,5,5,528000,0,0,0,0,0,0,8,60,1625000
2012,01,035,3,6,Conecuh County                ,1,1,100000,0,0,0,0,0,0,0,0,0,1,1,100000,0,0,0,0,0,0,0,0,0
2012,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,01,039,3,6,Covington County              ,13,13,892786,0,0,0,0,0,0,0,0,0,5,5,530500,0,0,0,0,0,0,0,0,0
2012,01,041,3,6,Crenshaw County               ,4,4,365000,0,0,0,0,0,0,0,0,0,4,4,365000,0,0,0,0,0,0,0,0,0
2012,01,043,3,6,Cullman County                ,48,48,6838176,0,0,0,0,0,0,0,0,0,32,32,5965900,0,0,0,0,0,0,0,0,0
2012,01,045,3,6,Dale County                   ,71,71,4005670,0,0,0,0,0,0,0,0,0,66,66,3880670,0,0,0,0,0,0,0,0,0
2012,01,047,3,6,Dallas County                 ,11,11,1181000,0,0,0,0,0,0,0,0,0,11,11,1181000,0,0,0,0,0,0,0,0,0
