Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

2010,01,001,3,6,Autauga County                ,135,135,20668160,0,0,0,14,56,5361345,0,0,0,135,135,20668160,0,0,0,14,56,5361345,0,0,0
2010,01,003,3,6,Baldwin County                ,682,682,130765637,0,0,0,1,4,235000,1,10,350000,682,682,130765637,0,0,0,1,4,235000,1,10,350000
2010,01,005,3,6,Barbour County                ,10,10,2323140,0,0,0,0,0,0,0,0,0,10,10,2323140,0,0,0,0,0,0,0,0,0
2010,01,007,3,6,Bibb County                   ,8,8,1343120,0,0,0,0,0,0,0,0,0,7,7,1153400,0,0,0,0,0,0,0,0,0
2010,01,009,3,6,Blount County                 ,10,10,1574979,4,8,320000,0,0,0,0,0,0,10,10,1574979,4,8,320000,0,0,0,0,0,0
2010,01,011,3,6,Bullock County                ,1,1,400000,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
2010,01,013,3,6,Butler County                 ,3,3,334000,0,0,0,0,0,0,0,0,0,3,3,334000,0,0,0,0,0,0,0,0,0
2010,01,015,3,6,Calhoun County                ,99,99,14830700,0,0,0,1,3,431990,1,5,696160,99,99,14830700,0,0,0,1,3,431990,1,5,696160
2010,01,017,3,6,Chambers County               ,10,10,870000,0,0,0,0,0,0,0,0,0,10,10,870000,0,0,0,0,0,0,0,0,0
2010,01,019,3,6,Cherokee County               ,6,6,1099375,0,0,0,0,0,0,0,0,0,1,1,40000,0,0,0,0,0,0,0,0,0
2010,01,021,3,6,Chilton County                ,22,22,2967820,0,0,0,0,0,0,0,0,0,20,20,2693320,0,0,0,0,0,0,0,0,0
2010,01,023,3,6,Choctaw County                ,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
2010,01,025,3,6,Clarke County                 ,5,5,753000,0,0,0,0,0,0,0,0,0,5,5,753000,0,0,0,0,0,0,0,0,0
2010,01,027,3,6,Clay County                   ,2,2,295000,0,0,0,0,0,0,0,0,0,2,2,295000,0,0,0,0,0,0,0,0,0
2010,01,029,3,6,Cleburne County               ,8,8,1321846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,01,031,3,6,Coffee County                 ,127,127,17362358,0,0,0,0,0,0,7,112,4167436,127,127,17362358,0,0,0,0,0,0,7,112,4167436
2010,01,033,3,6,Colbert County                ,83,83,9910595,0,0,0,0,0,0,1,5,171875,0,0,0,0,0,0,0,0,0,0,0,0
2010,01,035,3,6,Conecuh County                ,1,1,85000,0,0,0,0,0,0,0,0,0,1,1,85000,0,0,0,0,0,0,0,0,0
2010,01,037,3,6,Coosa County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,01,039,3,6,Covington County              ,12,12,2129000,0,0,0,0,0,0,0,0,0,12,12,2129000,0,0,0,0,0,0,0,0,0
2010,01,041,3,6,Crenshaw County               ,1,1,90000,0,0,0,0,0,0,0,0,0,1,1,90000,0,0,0,0,0,0,0,0,0
2010,01,043,3,6,Cullman County                ,24,24,2821659,0,0,0,0,0,0,0,0,0,9,9,2003900,0,0,0,0,0,0,0,0,0
2010,01,045,3,6,Dale County                   ,54,54,4013418,0,0,0,0,0,0,2,82,4174545,43,43,2913418,0,0,0,0,0,0,0,0,0
